50.979,0.563
100.969,1.056
150.966,1.464
200.965,1.782
251.004,2.025
301.205,2.21
351.124,2.35
400.641,2.457
451.264,2.544
500,2.607
550.661,2.661
600.962,2.705
651.042,2.741
702.247,2.773
748.503,2.797
801.282,2.82
850.34,2.84
899.281,2.857
954.198,2.873
1000,2.885
1100.715,2.839
1150.748,2.849
1200.48,2.858
1250.782,2.867
1300.39,2.875
1400.56,2.892
1450.326,2.896
1500.375,2.903
1550.388,2.91
1600,2.916
1650.165,2.922
1749.781,2.933
1800.18,2.939
1850.139,2.945
1949.318,2.955
2000,2.96
2049.18,2.965
2100.84,2.968
2150.538,2.975
2249.719,2.986
2298.851,2.99
2350.176,2.995
2400.96,3
2450.98,3.004
2551.02,3.012
2600.78,3.018
2649.007,3.023
2699.055,3.028
2751.032,3.033
2801.12,3.039
2849.003,3.041
2898.551,3.046
2949.853,3.05
2998.501,3.054
3048.78,3.059
3100.775,3.063
3149.606,3.068
3200,3.072
3252.033,3.076
3300.33,3.079
3350.084,3.083
3401.361,3.087
3448.276,3.09
3502.627,3.094
3552.398,3.099
3597.122,3.102
3649.635,3.105
3696.858,3.106
3802.281,3.114
3846.154,3.117
3898.635,3.118
3952.569,3.122
4000,3.125
4048.583,3.126
4098.361,3.127
4149.378,3.131
4201.681,3.131
4246.285,3.133
4301.075,3.134
4347.826,3.135
4395.604,3.136
4444.444,3.136
4494.382,3.137
4545.455,3.138
4597.701,3.137
4651.163,3.137
4694.836,3.136
4796.163,3.132
4854.369,3.131
4901.961,3.127
4950.495,3.124
5000,3.124
